Yn Affrick	Africa
Rolley fir hoshee steat ny Keinney	List of heads of state of Kenya
Jantagh (grammeydys)	Agent (grammar)
Aittin	Ulex
St Patrick's Athletic F.C.	St Patrick's Athletic F.C.
Shelbourne F.C.	Shelbourne F.C.
Michael J. Fox	Michael J. Fox
Çhengey chadjinit	Standard language
Creg Ealish	Ailsa Craig
Oar	OAR
Sulfaayt kelkium	Calcium sulfate
Hem	Hem (disambiguation)
Ocseed sodjum	Sodium oxide
Nieu-nearag	Neurotoxin
Kione (reddaghey)	Cabeça
Cleaysh chiyt	Hypochaeris radicata
Sulfaayt ollymin	Aluminium sulfate
Straih veanagh	Understory
Cloreed litçhey	Lithium chloride
Daa-vrat lipaidagh	Lipid bilayer
S4C	S4C
Caernarfon	Caernarfon
Champenois	Champenois dialect
Nasair	Nazareth
Gwengad	Guengat
Glion Faba	Glenfaba
Binn Éadair	Howth
Jeeghyn Egyptagh	Ancient Egyptian religion
Ronney:Shennaghys rere bun-chooish	Category:History by topic
Treveneg	Tréveneuc
Kastell-Bourc'h	Châteaubourg, Ille-et-Vilaine
Lanvalae	Lanvallay
Pledran	Plédran
Ar Yeuc'h	Le Juch
Plougouloum	Plougoulm
Crooin Hostyn	The Crown
Ollooscoill Ghurham	Durham University
Armys Vannin	Coat of arms of the Isle of Man
Shennaghys Vannin	History of the Isle of Man
Reeriaght Vannin as ny h-Ellanyn	Kingdom of the Isles
Derry City F.C.	Derry City F.C.
Roc'h Trevezel	Roc'h Trevezel
Aarheynnyn ny h-Albey	Subdivisions of Scotland
Dia Mirza	Dia Mirza
Emily Mae Young	Emily Mae Young
Camryn Grimes	Camryn Grimes
Johnny Brady	Johnny Brady
Marcus Bent	Marcus Bent
David Murphy (bluckaneyr)	David Murphy (footballer)
Thomas Clarke (irreyder magh)	Tom Clarke (Irish republican)
Poagey laue	Handbag
Seán Lemass	Seán Lemass
Ned Maddrell	Ned Maddrell
Abbyrlhit Gothagh	Gothic alphabet
Poncho	Poncho
Martin Taylor (bluckaneyr ruggit 1979)	Martin Taylor (footballer, born 1979)
Patrick Flueger	Patrick Flueger
Hadera	Hadera
Uaboe (slyst)	Uaboe District
Amoebosoa	Amoebozoa
Tczew	Tczew
Aradon	Arradon
Tourc'h	Tourch
Anemoi	Anemoi
Tregaeg	Trégueux
Landeda	Landéda
Kloar-Fouenant	Clohars-Fouesnant
Lanneured	Lanneuffret
Tregaranteg	Trégarantec
Páirc an Chrócaigh	Croke Park
Lanhouarne	Lanhouarneau
Kallithea	Kallithea
Purt Aer Tan Son Nhat	Tan Son Nhat International Airport
Caslys	Image
Phenomenon	Phenomenon
Yakub Kolas	Yakub Kolas
Elijah Wood	Elijah Wood
Fer sniaghtee	Snowman
Pobblaght Hoveidjagh Hoshiallagh ny h-Oosbeckistaan	Uzbek Soviet Socialist Republic
Caayr Kansas, Kansas	Kansas City, Kansas
Çhionnal Ashoonagh Vretin	National Assembly for Wales
Rolley çhengaghyn	Index of language articles
Bearnaraigh Mòr	Great Bernera
Ulvey	Ulva
Taabyl	Table (information)
Nitassinan	Innu
Boayl enmyssit da coontaghyn-pobble	Census designated place
Tombolo	Tombolo
Diepholz	Diepholz
Ollooscoill Lerphoyll	University of Liverpool
Overland Park, Kansas	Overland Park, Kansas
Emshir ry-heet	Future tense
Baljaght Ishøj	Ishøj Municipality
Starogard Gdański	Starogard Gdański
Partee yn Lught Obbyr (Nerin)	Labour Party (Ireland)
Chris Pratt	Chris Pratt
Sir y Fflint	Flintshire
Arrane Ashoonagh ny Salvador	National Anthem of El Salvador
Burgoonish (Oïl)	Burgundian language (Oïl)
Çhengoaylleeaght smooinaghtagh	Cognitive linguistics
Lanniskad	Laniscat
Ard Judaea as ny Samaar	Judea and Samaria Area
Poitevin-Saintongeais	Poitevin-Saintongeais
Ngerulmud	Ngerulmud
Fine Goal	Fingal
Purt Çhiarn	Port Erin
Buighag ny shamrag	Colias croceus
Cummey duillag	Leaf shape
Fo-hroar soe	Secondary metabolite
Doon Laoire-Rhaa yn Doon	Dún Laoghaire–Rathdown
Onnane (lus)	Thistle
Domloup	Domloup
Julie Marie Berman	Julie Marie Berman
Erieg	Éréac
Plangonwal	Planguenoual
Ervored	Erbrée
Beloen	Baulon
Ordnance Survey	Ordnance Survey
Claddan sniaghtee	Snowflake
Czarna Woda	Czarna Woda
Baljaght Kije	Gmina Kije
Ellan tidee	Tidal island
Ceaghley corockle	Consonant mutation
Billey ruissagh	Rhododendron ponticum
Ronney:Far-inçhynaght	Category:Artificial intelligence
Jason Dohring	Jason Dohring
Matthew Underwood	Matthew Underwood
Christopher Massey	Christopher Massey
Nahuatl Chlassicagh	Classical Nahuatl language
William Cameron Townsend	William Cameron Townsend
Anna Chakvetadze	Anna Chakvetadze
Máirtín Ó Cadhain	Máirtín Ó Cadhain
Franck Queudrue	Franck Queudrue
Colin Doyle	Colin Doyle (footballer)
Spike Milligan	Spike Milligan
Kronberg im Taunus	Kronberg im Taunus
Shavei Tzion	Shavei Tzion
Sone Aluko	Sone Aluko
Coontae Chojnice	Chojnice County
Eiza González	Eiza González
Cammee	Camisole
Reagheyder (grammeydys)	Determiner
An Tamer	River Tamar
Baile Íomhair	Ballivor
Jordon Mutch	Jordon Mutch
Hvalvík	Hvalvík
Cora Droma Rúisc	Carrick-on-Shannon
Fontanka	Fontanka River
Moyka (awin)	Moyka River
Scannaneaght	Cinematography
Blaenau Gwent	Blaenau Gwent
Coontae Tuchola	Tuchola County
Reeriaght ny h-Ungaar (1920-1946)	Kingdom of Hungary (1920–46)
Na Speiríní	Sperrins
Dellal	Trade
Carlo Farina	Carlo Farina
Gary McSheffrey	Gary McSheffrey
Coontae Malbork	Malbork County
Vestmanna	Vestmanna
Bazeleg-an-Dezerzh	La Bazouge-du-Désert
Bossan mollagh	Solidago gigantea
Beeal Aah ny Sluigh	Ballinasloe
Bineal	Guttation
Keeill Airney	Killarney
Cooyl-screeudeyr	Ghostwriter
Corockle scoarnagh	Uvular consonant
Yn Glass	River Glass, Isle of Man
Braun	Braun (company)
Aghill	Achill Island
Ar Faoued	Le Faouët, Morbihan
Argantreg-ar-Genkiz	Argentré-du-Plessis
Genus (reddaghey)	Genus (disambiguation)
Benac'h	Belle-Isle-en-Terre
Brock	Badger
Ard an Rátha	Ardara, County Donegal
Ardjyn Vuirchol	Ardnamurchan
Ard Rushen	Ardrossan
Arenal (volcaan)	Arenal Volcano
Torfaen	Torfaen
Henant-Sal	Hénansal
Argir	Argir
Entraven	Antrain
Sir Ddinbych	Denbighshire
Sant-Jili-Plijo	Saint-Gilles-Pligeaux
Dáil Éireann	Dáil Éireann
Keeill Mantan	Wicklow
Corockle crank	Flap consonant
Reykjanesbær	Reykjanesbær
Keeill Vreeshey Hiar	East Kilbride
Teachta Dála	Teachta Dála
Cowrag	Tag (metadata)
Reeaghyn ny Mee	List of Kings of Mide
Magh	Muff, County Donegal
Ooisht y Twoaie	North Uist
Breck ny keylley	Speckled wood (butterfly)
Kamen Rider: Dragon Knight	Kamen Rider: Dragon Knight
Kaliska, Baljaght Kaliska	Kaliska, Gmina Kaliska
Hvalba	Hvalba
Na Gleannta	Glenties
Eisteddfod	Eisteddfod
Bilhorod-Dnistrovskyi	Bilhorod-Dnistrovskyi
Inver Mooar	Arklow
Norðragøta	Norðragøta
Hoyvík	Hoyvík
Baneag gheayney	Green-veined white
Ardjyn Vretin	Local government in Wales
Galicia	Galicia
Ronney:Coontae Lubin	Category:Lubin County
Eiði	Eiði
Ny Gaeil	Gaels
Mwyllin Doo Aah	Union Mills
Gaoth Dobhair	Gweedore
Co-chorp Coontae Phen-y-bont ar Ogwr	Bridgend County Borough
Arrane Ashoonagh Vannin	Isle of Man National Anthem
Slyst Lille	Arrondissement of Lille
Frankfurt/Rhein-Main	Frankfurt Rhine-Main
Kilomeadar kerrinagh	Square kilometre
Rolley çheeraghyn rere earroo yn phobble	List of countries and dependencies by population
Organe (ronsaghey-kirpey)	Organ (anatomy)
Clade	Clade
Yn Ghermaan Heear	West Germany
509-500 RC	500s BC (decade)
ISO 639-1	ISO 639-1
Lag na Sionna	Shannon Pot
Ocseed yiarn	Iron oxide
Mandarin Chadjinit	Standard Chinese
Uzel	Uzel
Kadeneg	Chasné-sur-Illet
William Heath Robinson	W. Heath Robinson
Fuglafjørður	Fuglafjørður
Trójmiasto	Tricity, Poland
Far-skeealaght whaagh	Weird fiction
Bogrenish	Osmunda regalis
W. V. Awdry	Wilbert Awdry
Henry Nicholas Ridley	Henry Nicholas Ridley
Stuart Parnaby	Stuart Parnaby
Bwoid saggyrt	Dactylorhiza maculata
Portmeirion	Portmeirion
Rolley baljyn ayns Ellanyn ny Geyrragh	List of towns in the Faroe Islands
Slættaratindur	Slættaratindur
Hósvík	Hósvík
Cobbrag veg	Lycaena phlaeas
Beetys mooar	Mangelwurzel
Treogan	Tréogan
Kliszów, Queiggey Święty Krzyż	Kliszów, Świętokrzyskie Voivodeship
Cheder	Cheder
Cabbash phalm	Heart of palm
Bossan jargan	Pulicaria dysenterica
Kione Beih	Birkenhead
Co-chorp Coontae Chaerffili	Caerphilly County Borough
Castell-nedd Port Talbot	Neath Port Talbot
Brev	Brie, Ille-et-Vilaine
Cassan y ghoo	Vocal tract
Mêl-Karaez	Maël-Carhaix
Bun Cranncha	Buncrana
Co-chorp Coontae Verthyr Tudful	Merthyr Tydfil
Runavík	Runavík
Tvøroyri	Tvøroyri
Donnag faiyr	Meadow brown
Manhua	Manhua
Vágur	Vágur
Lapsana communis	Lapsana
Abbyrlhit Baarleagh	English alphabet
Polygonia c-album	Polygonia c-album
Baile Átha Buí	Athboy
Lheiney polo	Polo shirt
Aah yn Ree	Athenry
Beinn na Faoghla	Benbecula
Pobblaght Hene-reiltagh ny Crimeea	Autonomous Republic of Crimea
Rolley Ard-Vinishteryn ny Spaainey	List of Prime Ministers of Spain
Pengilli	Penguily
Koedmaeg	Coëtmieux
Damhliag	Duleek
Lanreunan	Laurenan
Sulby	Sulby, Isle of Man
Mannishter Shliggee	Sligo Abbey
Çhengey ardjynagh	Regional language
Laxey F.C.	Laxey A.F.C.
Ronney:Coontae Chełmno	Category:Chełmno County
Antrapoaylleeaght hengoaylleeagh	Linguistic anthropology
Pluskelleg	Plusquellec
Ronney:Coontae Tuchola	Category:Tuchola County
Coontae Świecie	Świecie County
Ronney:Coontae Świecie	Category:Świecie County
Lanhervoed	La Harmoye
Kastellaodren	Châtelaudren
Srath an Urláir	Stranorlar
Colught	Company
At the Mountains of Madness	At the Mountains of Madness
Gorrymag hollin	Holly blue
Cappan ny h-Oarpey 2007 ayns badmyntyn	2007 Europe Cup (badminton)
Droghad Bailey	Bailey bridge
Coill an Chollaigh	Bailieborough
Baile a' Mhanaich	Balivanich
Béal an Átha Móir	Ballinamore
Bealach Féich	Ballybofey
Béal Átha Seanaidh	Ballyshannon
Bank of Ireland	Bank of Ireland
Mannishter Beigthigh	Bective Abbey
Braag-spoyrt	Athletic shoe
Cosney stiagh glare	Language acquisition
Jees sloo	Minimal pair
Happy Feet Two	Happy Feet Two
Enmys mynphlanaidyn	Minor planet designation
Rhondda Cynon Taf	Rhondda Cynon Taf
Co-chorp Coontae Chonwy	Conwy County Borough
Bossan Pheddyr	Tanacetum parthenium
Calamintha	Calamintha
Slattys	Statute
Divlyn Yiass	South Dublin
Bolgan glare	Speech balloon
Tinvaal	Tynwald
Abejar	Abejar
Shappal	Shopping
Alfey	Stipa tenacissima
Yn Partee Glass (Nerin)	Green Party (Ireland)
Steat Seyr Lippe	Free State of Lippe
Rolley ellanyn ayns Ellanyn ny Geyrragh	List of islands of the Faroe Islands
Rolley stiureyderyn çhengey	List of language regulators
Toftir	Toftir
Leirvík	Leirvík
Kione Sailley	Kinsale
Kervoroc'h	Kermoroc'h
Andel	Andel, Côtes-d'Armor
Étrépagny	Étrépagny
Oskaleg	Aucaleuc
Brehant-Monkontour	Bréhand
Boulvriag	Bourbriac
Classicee	Classics
Yernish Ulley	Ulster Irish
Eaghtyrane ny Ceeprey	President of Cyprus
Sandur, Ellanyn ny Geyrragh	Sandur, Faroe Islands
Traa ynnydagh ny h-Oarpey Heear	Western European Time
Oaylleeaght ny slaynt	Healthcare scientists
Co-chorp Coontae Wrecsam	Wrexham County Borough
Aavioghey çhengey	Language revitalization
Leffyr	Lifford
Co-chorp Coontae Vro Morgannwg	Vale of Glamorgan
Sandavágur	Sandavágur
Sassarish	Sassarese language
Hopen	Hopen (Svalbard)
An Gearasdan	Fort William, Scotland
Jaggad	Jacket
Cammag Albinagh	Shinty
Breckag ghoo-ghlass	Dark green fritillary
Freoaghane beg	Small heath (butterfly)
Doon ny Ghoal	Donegal
Miðvágur	Miðvágur
Pictish	Pictish language
Çhengey ergatagh-jeeragh	Ergative–absolutive language
Bro Gozh ma Zadoù	Bro Gozh ma Zadoù
Baez	Bais, Ille-et-Vilaine
Plangoed	Plancoët
Lokarn	Locarn
Koem	Coësmes
Maez-Geraod	Les Champs-Géraux
Ar C'houerc'had	Le Vieux-Marché
Duaod	Duault
An Erge-Vras	Ergué-Gabéric
Planiel	Pleudaniel
Kerfod	Kerfot
Landehen	Landéhen
Sant-Nikolaz-ar-Pelem	Saint-Nicolas-du-Pélem
Plouvalae	Ploubalay
Ilfinieg	Yffiniac
Plezeved	Plémet
Koatreven	Coatréven
Sant-Postan	Saint-Pôtan
Gouanac'h	Gommenec'h
Erge-ar-Mor	Erquy
Trabrivan	Trébrivan
Sant-Laorañs-Graeneg	Saint-Laurent-sur-Oust
Svislach	Svislach River
Laue-cheird	Handicraft
Ratçhal	Racing
Çhengoaylleeaght hoylee	Comparative linguistics
Mynvreetçhyn doarney	Boxer briefs
Çhengag	Ligule
Wayuu (çhengey)	Wayuu language
Cuttee ghoarney	Boxer shorts
Ollooscoill ny h-Oaylleeaghtyn Feamagh Ostwestfalen-Lippe	Ostwestfalen-Lippe University of Applied Sciences
An Bhóinn	River Boyne
Viðareiði	Viðareiði
Sumba, Ellanyn ny Geyrragh	Sumba, Faroe Islands
Sørvágur	Sørvágur
Corockle far-ghlottyssagh	Epiglottal consonant
Brest	Brest
Plasmey sthie	Endoplasm
Glionteeyn Aontrym	Glens of Antrim
Ronney:Lublin	Category:Lublin
Ronney:Coontae Puławy	Category:Puławy County
Bun an Phobail	Moville
Ceanannas, Coontae ny Mee	Kells, County Meath
Keeill Darey	Kildare
The Fox and the Hound (noa-skeeal)	The Fox and the Hound (novel)
Yn Phroosh (ard)	Prussia (region)
Gillette, Wyoming	Gillette, Wyoming
Jakob Jakobsen	Jakob Jakobsen
Micheál Martin	Micheál Martin
Hudag	Hoodie
Bro Goth agan Tasow	Bro Goth agan Tasow
Norðdepil	Norðdepil
Cork City F.C.	Cork City F.C.
Yn Dein	Dingle
Hvannasund	Hvannasund
Kvívík	Kvívík
Boggaghys	Lenition
Teileann	Teelin
Once Upon a Forest	Once Upon a Forest
Creoiaghey	Fortition
Coontae Kartuzy	Kartuzy County
Lipník, Slyst Prievidza	Lipník, Prievidza District
Tewynblustri	Newquay
Porkeri	Porkeri
Skopun	Skopun
Tórshavnar kommuna	Tórshavnar Municipality
Galway United F.C.	Galway United F.C. (1937–2011)
Coontae Nowy Dwór Gdański	Nowy Dwór Gdański County
Lheeahid glooie	Slime mold
Porthmadog	Porthmadog
William Ramsay	William Ramsay
Conamara	Connemara
Littyr Kennain	Letterkenny
Çhengaghyn Mixeagh-Zoqueagh	Mixe–Zoque languages
Skórcz	Skórcz
Ellan çhengey	Language island
Isabel Ice	Isabel Ice
An Feabhal	River Foyle
Gleann Cholm Cille	Glencolmcille
Jeneeve	Gin
Éamonn Ceannt	Éamonn Ceannt
Mareeish	Mari language
Corys çhyndaaee (rollageydys)	Binary system
Eamon Gilmore	Eamon Gilmore
Mark Latham	Mark Latham
Ardjyn ayns Ellanyn ny Geyrragh	Regions of the Faroe Islands
Poynt broie	Boiling point
Bun Dobhráin	Bundoran
Loch Gile	Lough Gill
Glyvrar	Glyvrar
Balley'n Cheeylysh	Ballachulish
Mannishter 'er Maigh	Fermoy
Yoal	Youghal
Whitehaven	Whitehaven
Balley Keeill Charane	Campbeltown
Baile Átha Troim	Trim, County Meath
Yn Ooig	Wick, Caithness
Dún Búinne	Dunboyne
Fleetwood	Fleetwood
Balley ny Croshey	Crosby, Isle of Man
Skarszewy	Skarszewy
Cill Charthaigh	Kilcar
Ráth Tó	Ratoath
Na Frosa	Frosses
Caair ny Mart	Westport, County Mayo
Egineg	Acigné
Noal-Kastellan	Noyal-Châtillon-sur-Seiche
Noual-Pentevr	Noyal
Plehedel	Pléhédel
Tremuzon	Trémuson
Harlech	Harlech
Strendur	Strendur
Syðrugøta	Syðrugøta
Saltangará	Saltangará
Kaldbak	Kaldbak
Ráth Bhoth	Raphoe
Baile na nGallóglach	Milford, County Donegal
Laksaa	Laxey
Scone, Bretyn Yiass Noa	Scone, New South Wales
Droim dhá Thiar	Dromahair
Smętowo Graniczne	Smętowo Graniczne
Lubichowo	Lubichowo
Billey ny bea	Lignum vitae
Haldarsvík	Haldórsvík
Berrish ghorrym	Rubus caesius
Carn Domhnach	Carndonagh
Hem, Nord	Hem, Nord
Yn Chaladoan	Caledonia
Baie yn Chashtal	Castlebay
Kawan	Cavan, Côtes-d'Armor
Stad (lieh-innys)	Stad (peninsula)
Bee muc friogganagh	Sonchus asper
Cullee choonee fassan	Fashion accessory
Clwyd	Clwyd
Dyfed	Dyfed
Abbyrlhit Proto-Canaanagh	Proto-Canaanite alphabet
Çhybbyrt Aarey Yiass	South Tipperary
Çhybbyrt Aarey Hwoaie	North Tipperary
Cooishyn theayagh	Outline of public affairs
Toor Moshe Aviv	Moshe Aviv Tower
Søldarfjørður	Søldarfjørður
Aaraue cowraghyn	Doctrine of signatures
Norðskáli	Norðskáli
Billey cainleagh	Myrica cerifera
Abbyrlhit ny Hawaiish	Hawaiian alphabet
109 Piscium b	109 Piscium b
Rolley baljyn as baljyn beggey ayns Pobblaght Nerin	List of towns and villages in the Republic of Ireland
Caslys-earishlioar	American comic book
Sliabh Liag	Slieve League
Krystian Pearce	Krystian Pearce
Coontae Człuchów	Człuchów County
Yn-lhoamey	Deciduous
Bro-Gerne	Cornouaille
Reachlainn	Rathlin Island
Lus ny greg	Crithmum
Arrane reeoil	Honors music
Ammyr Griboyedov	Griboyedov Canal
Coontae Bytów	Bytów County
Coontae Słupsk	Słupsk County
Coontae Wejherowo	Wejherowo County
Pobblaght Nerin (1919-1922)	Irish Republic
Medall	Middle (sheading)
Coontae Lębork	Lębork County
Coontae Kościerzyna	Kościerzyna County
Toraigh	Tory Island
Thorran	Midden
De Morgannwg	South Glamorgan
Lught-reill unnaneagh	Unitary authority
Coontae Gdańsk	Gdańsk County
Breear neuchaghlaaee	Intransitive verb
Darragh	Darragh
Yn Kerroo Ewagh	Jewish Quarter (Jerusalem)
Denigomodu (slyst)	Denigomodu District
Eaddagh oie	Nightwear
Yr Wyddgrug	Mold, Flintshire
Morgannwg Canol	Mid Glamorgan
Rigsfællesskabet	Danish Realm
Geay chassee	Whirlwind
Dermot Morgan	Dermot Morgan
Jeeg	Gutter
Steatyn ny Germaan	States of Germany
Queiggey Gdańsk (1975-1998)	Gdańsk Voivodeship
Kliszów	Kliszów
Baie Ghoon ny Ghoal	Donegal Bay
Y Fro Gymraeg	Y Fro Gymraeg
Skorf	Scorff
Oded	Odet
Coontae Rinn Friù (shenn choontae)	Renfrewshire (historic)
Dubhadh	Dowth
Aundyr Jussi	Jussi Award
An Clochán Liath	Dungloe
Undinys ny Croitish as ny Çhengoaylleeaght	Institute of Croatian Language and Linguistics
Plumbis glass	Greengage
Edward Martyn	Edward Martyn
Talpiot	Talpiot
Loch Feabhail	Lough Foyle
Poteen	Poitín
Alliance Israélite Universelle	Alliance Israélite Universelle
Bascagh (eaddeeyn)	Basque (clothing)
Plasmey mooie	Ectoplasm (cell biology)
Coontae Tczew	Tczew County
Coontae Sztum	Sztum County
Coontae Starogard	Starogard County
University College Dublin A.F.C.	University College Dublin A.F.C.
Coontae Kwidzyn	Kwidzyn County
Fo-arctagh	Subarctic
Lagarfljót	Lagarfljót
An Earagail	Mount Errigal
Kerrin (caslys-skeeal)	Panel (comics)
Harry Beck	Harry Beck
Meegrasteatyn Oarpagh	European microstates
Gerald Barry	Gerald Barry (composer)
John B. Keane	John B. Keane
Cooitinagh	Cuticle
Banian	Ficus benghalensis
Ronney:Yn Ghermaan	Category:Germany
Ronney:Yn Iddaal	Category:Italy
Ronney:Ny Steatyn Unnaneysit	Category:United States
Ronney:Yn Roosh	Category:Russia
Ronney:Yn Chanadey	Category:Canada
Ronney:Reeriaght Unnaneysit	Category:United Kingdom
Ronney:Yn Spaainey	Category:Spain
Ronney:Yn Çheen	Category:China
Ronney:Yn Çhapaan	Category:Japan
Ronney:Yn Austrail	Category:Australia
Ronney:Meksico	Category:Mexico
Ronney:Yn Injey	Category:India
Ronney:Yn Araab Saudi	Category:Saudi Arabia
Ronney:Israel	Category:Israel
Ronney:Ard-valley yn Phaab	Category:Vatican City
Ronney:Yn Turkee	Category:Turkey
Ronney:Yn Affrick Yiass	Category:South Africa
Ronney:Yn Egypt	Category:Egypt
Ronney:Yn Eeraan	Category:Iran
Ronney:Yn Teelynn Noa	Category:New Zealand
Ronney:Yn Argenteen	Category:Argentina
Ablid chianglee (grammeydys)	Valency (linguistics)
Skaal	Saucer
Inis Meáin	Inishmaan
Garret FitzGerald	Garret FitzGerald
Inis Eoghain	Inishowen
Donnag y voalley	Lasiommata megera
Loch Súilí	Lough Swilly
Laa seyr	Holiday
Ronney:Yn Afghanistaan	Category:Afghanistan
Ronney:Yn Algear	Category:Algeria
Ronney:Yn Austeyr	Category:Austria
Ronney:Yn Vangladesh	Category:Bangladesh
Ronney:Pobblaght Gheynlagh ny Congo	Category:Democratic Republic of the Congo
Ronney:Yn Choobey	Category:Cuba
Ronney:Yn Eetoip	Category:Ethiopia
Ronney:Yn Indoneesh	Category:Indonesia
Ronney:Yn Earack	Category:Iraq
Ronney:Yn Çheer Injil	Category:Netherlands
Ronney:Yn Naigeer	Category:Nigeria
Ronney:Yn Phakistaan	Category:Pakistan
Ronney:Yn Pholynn	Category:Poland
Ronney:Yn Phortiugal	Category:Portugal
Ronney:Singapore	Category:Singapore
Ronney:Yn Chorea Yiass	Category:South Korea
Ronney:Yn Toodaan	Category:Sudan
Ronney:Yn Elveeish	Category:Switzerland
Ronney:Yn Çheer Thai	Category:Thailand
Ronney:Yn Ookraan	Category:Ukraine
Ronney:Yn Vietnam	Category:Vietnam
Ronney:Sheeintee	Category:Mammals
Conaant Pheairt	Treaty of Perth
Ronney:Vertebrata	Category:Reptiles
Ronney:Daa-veaghee	Category:Amphibians
Ronney:Ushagyn	Category:Birds
Ronney:Fungyssyn	Category:Fungi
Ronney:Bacteyryn	Category:Bacteria
Ronney:Veeryssyn	Category:Viruses
Ronney:Lossreeyn	Category:Plants
Ronney:Pteridophyta	Category:Pteridophyta
Ronney:Fishig	Category:Physics
Ronney:Oaylleeaghtyn najooragh	Category:Natural sciences
Ronney:Bea-oaylleeaght	Category:Biology
Ronney:Kemmig	Category:Chemistry
Ronney:Dowan-oaylleeaght	Category:Earth sciences
Ronney:Shennaghys	Category:History
Ronney:Çheer-oaylleeaght	Category:Geography
Ronney:Sheshaght	Category:Society
Ronney:Craueeaght	Category:Religion
Ronney:Spoyrtyn	Category:Sports
Ronney:Oaylleeaght	Category:Science
Ronney:Ny h-Ashoonyn Unnaneysit	Category:United Nations
Ronney:Yn Unnaneys Oarpagh	Category:European Union
Ronney:Scannaneaght	Category:Film
Ronney:Strughtooryn troggit	Category:Buildings and structures
Ronney:Glare	Category:Language
Ronney:Yn Chruinney	Category:Earth
Ronney:Spoar	Category:Space
Ronney:Fysseree	Category:Information
Netochka Nezvanova (noaskeeal)	Netochka Nezvanova (novel)
Cronk Meayll	Mull Hill
Cnobha	Knowth
An Gharbhóg (awin)	River Garavogue
Shane McEntee	Shane McEntee
Local Government Act 1972	Local Government Act 1972
Yn Kiare as Feed	House of Keys
Reachra	Lambay Island
Burley frangagh	Rorippa palustris
Glackan	Brake
Billey eairkey	Phellodendron
Goursez Vreizh	Goursez Vreizh
Gaelg Chanadagh	Canadian Gaelic
Griomasaigh	Grimsay
Jishag y Nollick	Father Christmas
Stronnaghys	Nasalization
Heysham	Heysham
Representation of the People Act 1832	Reform Act 1832
Hugh de Lacy, Çhiarn ny Mee	Hugh de Lacy, Lord of Meath
Corys ingagh ogheragh Nerin	Irish grid reference system
Clerkagh	Clarkia pulchella
Peter Stallard	Peter Stallard
Keeill (hradishoonagh)	Keeill
Logh ny Moddee	Lochmaddy
Na Cealla Beaga	Killybegs
Çhengaghyn ny h-Elveeish	Languages of Switzerland
Ewnyn Israelagh	Israeli Jews
Gooyn eddrym	Negligee
Co-heiyderyssyn parlamaidagh ayns Pobblagh Nerin	Parliamentary constituencies in the Republic of Ireland
Boglus	Helminthotheca echioides
Cill Dhéagláin	Ashbourne, County Meath
Bro-Dreger	Trégor
Baile Shláine	Slane
Possan cair-uillinagh	Orthogonal group
Krayot	Krayot
Lhiass-chiannoort Vannin	Lieutenant Governor of the Isle of Man
Zlatograd	Zlatograd
An tÚdarás um Bóithre Náisiúnta	National Roads Authority
Cannian	Leek
Slieau Scott, yn Antarctagh	Mount Scott (Antarctica)
Ennymockle conastagh	Relational noun
Saintongeais	Saintongeais dialect
Rolley loghyn ayns Nerin	List of loughs of Ireland
Baile an Mhóta, Coontae Shliggee	Ballymote
An Inse, Coontae ny Mee	Laytown
