Aafrika	Africa
Mustlaik-apollo	Clouded apollo
809	809
167	167
Tuumapoor	Nuclear pore
665	665
776	776
763	763
Rudolf Clausius	Rudolf Clausius
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
Auguste Rodin	Auguste Rodin
Ana Ivanović	Ana Ivanovic
Proof	Proof
130	130
Caroline Wozniacki	Caroline Wozniacki
Ida-Timori lipp	Flag of East Timor
226	226
207	207
475	475
454	454
495	495
Petra Kvitová	Petra Kvitová
Lõuna-Siinai kubernerkond	South Sinai Governorate
206	206
Tennis 2012. aasta suveolümpiamängudel	Tennis at the 2012 Summer Olympics
468	468
461	461
Al-Baḩr al-Aḩmari kubernerkond	Red Sea Governorate
Giza kubernerkond	Giza Governorate
460	460
Levaansukraas	Levansucrase
194	194
210	210
Karakal	Caracal
Ajaveeb	Blog
225	225
311	311
220	220
Nukleool	Nucleolus
541	541
642	642
Dell	Dell
Oscar Wilde	Oscar Wilde
390. aastad	390s
313	313
180	180
794	794
587	587
530	530
Abariringa	Kanton Island
609	609
Kiribati keel	Gilbertese language
497	497
540	540
428	428
Sopran	Soprano
548	548
422	422
549	549
Wilhelm Tell	William Tell
457	457
478	478
Amesi test	Ames test
253	253
Aahas	Ahaz
467	467
458	458
350. aastad	350s
158	158
157	157
Surra veel üks päev	Die Another Day
164	164
124	124
113	113
Fantaasia 2000	Fantasia 2000
121	121
106	106
Guido van Rossum	Guido van Rossum
551	551
Turteltuvi (perekond)	Streptopelia
494	494
320	320
242	242
Ё	Yo (Cyrillic)
291	291
48	48
97	97
56	56
93	93
Alofi	Alofi, Niue
57	57
Jamestown	Jamestown, Saint Helena
Prantsuse Polüneesia	French Polynesia
Lineaarkiri A	Linear A
Rouen	Rouen
503	503
510	510
509	509
474	474
484	484
576	576
Hamilton (Bermuda)	Hamilton, Bermuda
493	493
Hagåtña	Hagåtña, Guam
479	479
287	287
407	407
485	485
547	547
Pildi stabiliseerimine	Image stabilization
546	546
544	544
537	537
535	535
502	502
527	527
Yareni ringkond	Yaren District
508	508
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
Norfolki saar	Norfolk Island
630	630
Jõulusaar	Christmas Island
614	614
Qinā kubernerkond	Qena Governorate
505	505
446	446
791	791
Puriliblikas	Scarce swallowtail
Florence Griffith-Joyner	Florence Griffith Joyner
Wilma Rudolph	Wilma Rudolph
Mers el-Kébir	Mers El Kébir
557	557
Kalkulaator	Calculator
656	656
657	657
659	659
Chungju	Chungju
651	651
676	676
670	670
652	652
673	673
Hati keel	Hattic language
654	654
647	647
Guomindang	Kuomintang
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
Paola (belglaste kuninganna)	Queen Paola of Belgium
773	773
757	757
435	435
790	790
Populatsioonigeneetika	Population genetics
437	437
433	433
764	764
Jiří Magál	Jiří Magál
426	426
781	781
425	425
Õved	Sibling
429	429
423	423
Tervishoid	Health care
765	765
235	235
Tšetšeenid	Chechens
233	233
Miki	Miki, Hyōgo
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
Pello vald	Pello
134	134
135	135
Suur Hiina kanal	Grand Canal (China)
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
Llobregati jõgi	Llobregat
Ameerika supermodell	America's Next Top Model
Ahtushäälik	Fricative consonant
589	589
Papagoilised	Parrot
521	521
Babari saared	Babar Islands
92	92
Kakaduulased	Cockatoo
597	597
329	329
Kraków	Kraków
Abovjan	Abovyan
133	133
413	413
Karli ülikool	Charles University in Prague
258	258
Nokk	Beak
259	259
196	196
236	236
Arado Ar 66	Arado Ar 66
789	789
Akustiline kitarr	Acoustic guitar
Hakan Balta	Hakan Balta
332	332
Marcelo Bielsa	Marcelo Bielsa
631	631
David di Donatello auhind	David di Donatello
Kapan	Kapan
487	487
638	638
Hrazdan	Hrazdan
473	473
Abajas	Cove
176	176
143	143
Sergei Jessenin	Sergei Yesenin
Nõukogude Sotsialistlike Vabariikide Liidu konstitutsioon (1936)	1936 Soviet Constitution
643	643
523	523
215	215
‘Abdur Raḩmān	Abdur Rahman Khan
148	148
247	247
424	424
641	641
The Hawthorns	The Hawthorns
Dwyane Wade	Dwyane Wade
492	492
Bariton	Baritone
Veekonn	Edible frog
639	639
Conley	Conley (disambiguation)
EA Link	Origin (digital distribution software)
256	256
Avalik haldus	Public administration
441	441
131	131
Barry Watson	Barry Watson (actor)
Lesgi keel	Lezgian language
191	191
Leo III (keiser)	Leo III the Isaurian
450	450
612	612
635	635
Friedrich Kettler	Friedrich Kettler
611	611
534	534
488	488
Plummeri-Vinsoni sündroom	Plummer–Vinson syndrome
607	607
524	524
282	282
472	472
471	471
Kärestikuslaalom	Whitewater slalom
490	490
Aleksandr Opekušin	Alexander Opekushin
316	316
Anarhia	Anarchy
797	797
511	511
Vitali Klõtško	Vitali Klitschko
Ujumine (spordiala)	Swimming (sport)
295	295
Karolingide impeerium	Carolingian Empire
598	598
Araabia	Arabian Peninsula
303	303
Emotikon	Emoticon
Markus	Mark the Evangelist
250	250
Stadium of Light	Stadium of Light
515	515
David Alaba	David Alaba
Vabaujumine	Freestyle swimming
San Saba	San Saba, Texas
512	512
418	418
333	333
Éverton Lopes	Éverton Lopes
294	294
Sergei Šoigu	Sergey Shoygu
217	217
277	277
578	578
312	312
Liitmine	Addition
Liam Hemsworth	Liam Hemsworth
284	284
Illüüria	Illyria
283	283
Badahšan	Badakhshan
IUCNi punane nimistu	IUCN Red List
XSL	XSL
241	241
Jäär (märk)	Aries (astrology)
Pierre Dørge	Pierre Dørge
243	243
Taiwani provints	Taiwan Province
262	262
Eluviis	Lifestyle (sociology)
498	498
Super Bowl	Super Bowl
Meridiaan	Meridian (geography)
336	336
Ceres	Ceres (mythology)
334	334
266	266
Poks	Boxing
261	261
470	470
Martin-Luther-Universität Halle-Wittenberg	Martin Luther University of Halle-Wittenberg
349	349
271	271
275	275
.aero	.aero
292	292
296	296
Cathay Pacific	Cathay Pacific
345	345
431	431
380. aastad	380s
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
Singapore Airlines	Singapore Airlines
581	581
558	558
302	302
309	309
353	353
Virgin Atlantic	Virgin Atlantic
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
Lake'i maakond (Colorado)	Lake County, Colorado
439	439
319	319
318	318
299	299
Biogeneetiline reegel	Recapitulation theory
419	419
416	416
338	338
310	310
315	315
359	359
Lake'i maakond	Lake County
360	360
Randkress	Lepidium latifolium
273	273
Koerliblikas (perekond)	Aglais
286	286
Moodne viievõistlus	Modern pentathlon
Nuga	Knife
FC Schalke 04	FC Schalke 04
288	288
Karl V	Charles V, Holy Roman Emperor
278	278
455	455
577	577
Mõttepunktid	Ellipsis
Canterbury Augustinus	Augustine of Canterbury
Jennifer Aniston	Jennifer Aniston
575	575
Lausitz	Lusatia
482	482
486	486
580	580
567	567
564	564
561	561
Kompuutertomograaf	X-ray computed tomography
328	328
325	325
Früügia	Phrygia
317	317
574	574
János I Zápolya	John Zápolya
566	566
249	249
348	348
Domeeninimi	Domain name
442	442
443	443
Maldiivi keel	Maldivian language
267	267
244	244
248	248
343	343
562	562
417	417
268	268
590	590
269	269
499	499
Malālah Yūsafzay	Malala Yousafzai
409	409
405	405
Vepsa keel	Veps language
An-Nuşrah' Rinne	Al-Nusra Front
406	406
403	403
414	414
Võru keel	Võro language
411	411
Põhiseaduslikkuse järelevalve kohus	Constitutional court
412	412
Anglosaksid	Anglo-Saxons
560	560
592	592
Vladimír Špidla	Vladimír Špidla
Sebrad	Zebra
276	276
Basaniit	Basanite
Mošee	Mosque
7. aastatuhat eKr	7th millennium BC
Blue	Blue (English band)
314	314
323	323
366	366
Akon	Akon
362	362
Vadja keel	Votic language
545	545
531	531
Arhitektuuristiil	Architectural style
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
Põhjakhoisani keeled	!Kung language
Doomino	Dominoes
528	528
506	506
526	526
507	507
Rituparno Ghosh	Rituparno Ghosh
Globen	Ericsson Globe
Valeri Leontjev	Valery Leontiev
Austria pärilussõda	War of the Austrian Succession
Sarah Kay	Sarah Kay (poet)
214	214
Endel Ruberg	Endel Ruberg
213	213
Skonto Hall	Skonto Hall
212	212
Tšokto keel	Choctaw language
228	228
Manasi rahvusvaheline lennujaam	Manas International Airport
Viini rahvusvaheline lennujaam	Vienna International Airport
Parken	Telia Parken
227	227
149	149
Vojislav Koštunica	Vojislav Koštunica
174	174
Gibraltari lipp	Flag of Gibraltar
Belutši keel	Balochi language
Tungani keel	Dungan language
Bemba keel	Bemba language
189	189
Rahvusvaheline raamatu standardnumber	International Standard Book Number
Krimmi Kilp	Crimea Shield
199	199
Bali keel	Balinese language
Dzongkha keel	Dzongkha
141	141
Stanislav Prins	Stanislav Prins
132	132
Königsbergi sildade probleem	Seven Bridges of Königsberg
Korsika keel	Corsican language
125	125
Burjaadi keel	Buryat language
123	123
Balti keeled	Baltic languages
147	147
Seitsmeaastane sõda	Seven Years' War
Bantu keeled	Bantu languages
Allen	Allen, Texas
144	144
Tšatisgarhi keel	Chhattisgarhi language
Tšuugi keel	Chuukese language
Top Gear	Top Gear (2002 TV series)
Taburet	Stool (seat)
198	198
Saku Suurhall	Saku Suurhall Arena
Hartwall Arena	Hartwall Arena
Berta keel	Berta language
178	178
177	177
Tumepunane neiuvaip	Epipactis atrorubens
Embrüo	Embryo
Stringiteooria	String theory
Austroaasia keeled	Austroasiatic languages
187	187
Metodism	Methodism
Mary Celeste	Mary Celeste
195	195
Armeenia lipp	Flag of Armenia
Tehiskeel	Constructed language
186	186
Logopeedia	Speech-language pathology
Fotograaf	Photographer
347	347
Ülem-Burgundia	Upper Burgundy
Ordo Templi Orientis	Ordo Templi Orientis
620	620
Alam-Burgundia	Lower Burgundy
Bambara keel	Bambara language
Trypanosoma brucei	Trypanosoma brucei
624	624
Kirikuslaavi keel	Church Slavonic language
605	605
Tasmani meri	Tasman Sea
Tšuktši-kamtšadali keeled	Chukotko-Kamchatkan languages
Bartangi keel	Bartangi language
629	629
Otselot	Ocelot
Tšamorro keel	Chamorro language
616	616
615	615
Bhodžpuri keel	Bhojpuri language
Hoo keel	Ho language
Njandža keel	Chewa language
644	644
Beogradska arena	Kombank Arena
Lõssõtšansk	Lysychansk
646	646
633	633
Kreoolkeel	Creole language
Berdjansk	Berdyansk
Peptiidside	Peptide bond
637	637
436	436
434	434
Hereero keel	Herero language
Tamme-kedrikvaksik	Biston strataria
293	293
427	427
Läänemeresoome keeled	Finnic languages
Waw	WAW
185	185
Bila Tserkva	Bila Tserkva
360. aastad	360s
Jevpatorija	Yevpatoria
Tšuvaši keel	Chuvash language
Melitopol	Melitopol
Tšetšeeni keel	Chechen language
321	321
Ganda keel	Luganda
327	327
Murre	Dialect
430	430
Valetaja paradoks	Liar paradox
Tšerokii keel	Cherokee language
Lev Trotski	Leon Trotsky
447	447
Russelli paradoks	Russell's paradox
Little Rock	Little Rock, Arkansas
569	569
Hatsa keel	Hadza language
568	568
Vinh	Vinh
444	444
Kutenai keel	Kutenai language
Rahvusvaheline Puhta ja Rakenduskeemia Liit	International Union of Pure and Applied Chemistry
Idealism	Idealism
796	796
Astendamine	Exponentiation
Gagauusi keel	Gagauz language
798	798
Inari saami keel	Inari Sami language
Kardemon	Elettaria cardamomum
793	793
Eugène Delacroix	Eugène Delacroix
685	685
Ida-elupuu	Platycladus
Fangi keel	Fang language
Hartford	Hartford, Connecticut
Homofoobia	Homophobia
799	799
683	683
Muuseum	Museum
Rolling Stone	Rolling Stone
274	274
Indoiraani keeled	Indo-Iranian languages
Dover (Delaware)	Dover, Delaware
Rakendusmatemaatika	Applied mathematics
Kabardi-tšerkessi keel	Kabardian language
579	579
Stukk	Stucco
Iraani keeled	Iranian languages
281	281
Lakota keel	Lakota language
Vanasüüria keel	Syriac language
Karakalpaki keel	Karakalpak language
306	306
Mordvalased	Mordvins
Volodõmõr-Volõnskõi	Volodymyr-Volynskyi
ISO 639	ISO 639
438	438
Jaava keel	Javanese language
Friedrich II (Preisimaa)	Frederick the Great
Kollajuur	Curcuma
Kašmiiri keel	Kashmiri language
297	297
Karjala keel	Karelian language
Isuri keel	Ingrian language
421	421
Handi keel	Khanty language
298	298
Havai keel	Hawaiian language
Grünwaldi lahing	Battle of Grunwald
Ruanda keel	Kinyarwanda
Hakassi keel	Khakas language
351	351
352	352
Slovjansk	Sloviansk
Rundi keel	Kirundi
Kikuju keel	Gikuyu language
355	355
Hiidpanda	Giant panda
Kesha	Kesha
Jääkaru	Polar bear
Kramatorsk	Kramatorsk
Khoisani keeled	Khoisan languages
95	95
Tim Bendzko	Tim Bendzko
Hirimotu keel	Hiri Motu language
94	94
594	594
Kara meri	Kara Sea
Kusunda keel	Kusunda language
542	542
Kalmõki keel	Kalmyk Oirat
448	448
Mandžu keel	Manchu language
Mundži keel	Munji language
445	445
305	305
234	234
565	565
8. aastatuhat eKr	8th millennium BC
Kildini saami keel	Kildin Sami language
Mauritiuse kreoolkeel	Mauritian Creole
Meriliiliad	Crinoid
Oto-mange keeled	Oto-Manguean languages
Kannada keel	Kannada language
381	381
Paesi keel	Páez language
Radiaan	Radian
Mande keeled	Mande languages
Tehiskeelte loend	List of constructed languages
Piiratud vastutusega äriühing	Limited company
385	385
Kašuubi keel	Kashubian language
Karbonaad	Meat chop
Liivi keel	Livonian language
Statsionaarne kiiruskaamera	Traffic enforcement camera
Karatšai-balkaari keel	Karachay-Balkar language
Korku keel	Korku language
553	553
307	307
584	584
Mapudunguni keel	Mapuche language
346	346
257	257
285	285
591	591
Hannover 96	Hannover 96
Moone (bioloogia)	Metamorphosis
289	289
Mansi keel	Mansi language
Bertrand Russell	Bertrand Russell
Araabia kevad	Arab Spring
Nicaragua viipekeel	Nicaraguan Sign Language
Labakäsi	Hand
Du Fu	Du Fu
Belau keel	Palauan language
563	563
Nedo Nadi	Nedo Nadi
Soga keel	Soga language
Uus-Kaledoonia	New Caledonia
Niue keel	Niuean language
Piroog	Pirogue
Norfuki keel	Norfuk dialect
252	252
Oria keel	Oriya language
Edmund Hillary	Edmund Hillary
Nepali keel	Nepali language
Rahvastik	Population
Pidžin	Pidgin
Saarestik	Archipelago
595	595
Abhaasi-adõgee keeled	Northwest Caucasian languages
246	246
Papiamento keel	Papiamento
Giro d'Italia	Giro d'Italia
Theodore Roosevelt	Theodore Roosevelt
Manipuri keel	Meithei language
Nogai keel	Nogai language
Sarikoli keel	Sarikoli language
596	596
Tour de France	Tour de France
593	593
Munda keeled	Munda languages
357	357
Maailma keelkondade loend	List of language families
Ndonga keel	Ndonga dialect
573	573
Uluru	Uluru
Harilik sidrunhein	Cymbopogon citratus
Lüüdi keel	Ludic language
Peetrus	Saint Peter
Tel Aviv	Tel Aviv
Julianus Apostata	Julian (emperor)
Salat-euterpepalm	Açaí palm
Tšehhoslovakkia	Czechoslovakia
Põhjasaami keel	Northern Sami language
Sango keel	Sango language
Nice	Nice
Sanremo	Sanremo
Santali keel	Santali language
Leht	Leaf
Mänguautomaat	Slot machine
Jules Verne	Jules Verne
Robert Delaunay	Robert Delaunay
Valparaíso	Valparaíso
Sranani keel	Sranan Tongo
Susu keel	Susu language
Sindhi keel	Sindhi language
Näitleja	Actor
Šona keel	Shona language
Samojeedi keeled	Samoyedic languages
Hollywood	Hollywood
Lääneanakard	Cashew
Sölkupi keel	Selkup language
Haskell	Haskell (programming language)
Samoa keel	Samoan language
Marlon Brando	Marlon Brando
Georges Seurat	Georges Seurat
Seišellikreooli keel	Seychellois Creole
Sandave keel	Sandawe language
Setu keel	Seto dialect
Niue	Niue
Bastogne	Bastogne
Tobi keel	Tobian language
Tumulus	Tumulus
Geograafiline laius	Latitude
Japi keel	Yapese language
Juga	Waterfall
Ikaros	Icarus
559	559
Šotimaa jalgpallikoondis	Scotland national football team
Semi keeled	Semitic languages
599	599
Šugni keel	Shughni language
Tuvalu keel	Tuvaluan language
326	326
Tagalogi keel	Tagalog language
Kategooria:Programmeerimiskeeled	Category:Programming languages
Yits'ẖak Rabin	Yitzhak Rabin
341	341
322	322
Aškenazi juudid	Ashkenazi Jews
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Tonga keel	Tongan language
Pronks	Bronze
Tokelau keel	Tokelauan language
Ḩusnī Mubārak	Hosni Mubarak
Leoni keel	Leonese dialect
Oaxaca osariik	Oaxaca
Uurali keeled	Uralic languages
Thunder Bay	Thunder Bay
386	386
Tõva keel	Tuvan language
Tigrinja keel	Tigrinya language
Tetumi keel	Tetum language
Funafuti	Funafuti
Tahiti keel	Tahitian language
Tigree keel	Tigre language
Tivi keel	Tiv language
Silinder	Cylinder (geometry)
Tsati keel	Tsat language
Tsvana keel	Tswana language
374	374
380	380
Tok-pisini keel	Tok Pisin
Slash	Slash (musician)
Muskuslill	Adoxa
Või	Butter
Teoloogia	Theology
Jidga keel	Yidgha language
Brantford	Brantford
PC-BSD	PC-BSD
Jazgulami keel	Yazghulami language
Religiooniteadus	Religious studies
Pablo Neruda	Pablo Neruda
Zeus	Zeus
Vahhi keel	Wakhi language
Yāsir ‘Arafāt	Yasser Arafat
OpenBSD	OpenBSD
Mossad	Mossad
Oxford	Oxford
Niagara juga	Niagara Falls
NetBSD	NetBSD
Viipekeel	Sign language
Kesk-Okinawa keel	Okinawan language
FreeBSD	FreeBSD
136	136
6. aastatuhat eKr	6th millennium BC
Linus Torvalds	Linus Torvalds
Volofi keel	Wolof language
Port-au-Prince	Port-au-Prince
BSD	Berkeley Software Distribution
Venemaa Keisririik	Russian Empire
Międzyrzec Podlaski	Międzyrzec Podlaski
Tiibeti keel	Standard Tibetan
Evangeelium	Gospel
Alberto Vaquina	Alberto Vaquina
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
Jakuudi keel	Sakha language
Joruba keel	Yoruba language
Doctor Who	Doctor Who
370. aastad	370s
Beatrice (täpsustus)	Beatrice
Diiselvedur	Diesel locomotive
Sotho keel	Sotho language
Barbona	Barbona
Astroloogia	Astrology
Tasmaania	Tasmania
Rotterdam	Rotterdam
Nojemberjan	Noyemberyan
Kreeta	Crete
Muusikainstrument	Musical instrument
Luik	Swan
Whitney Houston	Whitney Houston
Uskumus	Belief
Seep	Soap
New Orleans	New Orleans
Mošovce	Mošovce
Benazir Bhutto	Benazir Bhutto
Felipe II	Philip II of Spain
Shakira	Shakira
‘Abd Allāh an-Nsour	Abdullah Ensour
Philippe II	Philip II of France
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Oxfordi Ülikool	University of Oxford
Scarlett Johansson	Scarlett Johansson
Tee	Road
Maḩmūd Aḩmadīnezhād	Mahmoud Ahmadinejad
Boriss Jeltsin	Boris Yeltsin
Gwyneth Paltrow	Gwyneth Paltrow
Felipe III	Philip III of Spain
CD (andmekandja)	Compact disc
Aleksandr Solženitsõn	Aleksandr Solzhenitsyn
Hirohito	Hirohito
Kopter	Helicopter
Al-Qā‘idah	Al-Qaeda
Mootorratas	Motorcycle
Victoria (Austraalia) lipp	Flag of Victoria
Saint Helena	Saint Helena
Mehmed II	Mehmed the Conqueror
Vanilla Ninja	Vanilla Ninja
Jõehobu	Hippopotamus
Videotehnika	Video
382	382
Ettekujutus	Imagination
Béla Lugosi	Bela Lugosi
342	342
373	373
372	372
Egeuse meri	Aegean Sea
Salaküttimine	Poaching
Arre	Arre, Veneto
Ichirō Mizuki	Ichirou Mizuki
Sünnitus	Childbirth
Sõrmed	Digit (anatomy)
Anastacia	Anastacia
Eufrat	Euphrates
James Garfield	James A. Garfield
Liibüa lipp	Flag of Libya
Kyōto	Kyoto
Abano Terme vald	Abano Terme
Adria	Adria
Saint-Pierre ja Miquelon	Saint Pierre and Miquelon
Gustave Courbet	Gustave Courbet
Kümme käsku	Ten Commandments
Giovanni Gabrieli	Giovanni Gabrieli
Sünagoog	Synagogue
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Juugend	Art Nouveau
La Manche	English Channel
1980. aastad	1980s
Johannesburg	Johannesburg
1990. aastad	1990s
Michael Reiziger	Michael Reiziger
J. K. Rowling	J. K. Rowling
Gustav Klimt	Gustav Klimt
Hiroshima	Hiroshima
Lootuse kasvades	Raising Hope
Albert Camus	Albert Camus
Pärsia laht	Persian Gulf
Stereofoonia	Stereophonic sound
Liiv	Sand
Kibuvits	Rose
Kingston	Kingston, Jamaica
Omadussõna	Adjective
Brugine	Brugine
Leopard	Leopard
Norfolk (täpsustus)	Norfolk (disambiguation)
Qaidam	Qaidam Basin
Salzburg	Salzburg
Ninasarvik	Rhinoceros
Vanakreeka mütoloogia	Greek mythology
Kompass	Compass
Dayton	Dayton, Ohio
Perekond (bioloogia)	Genus
Rudyard Kipling	Rudyard Kipling
Allein	Allein
Sotsiaalteadused	Social science
Somaalimaa	Somaliland
Poolsaar	Peninsula
Maakood (telefon)	List of country calling codes
Holmenkollen	Holmenkollen
Focke-Wulf Fw 190	Focke-Wulf Fw 190
Röntgenikiirgus	X-ray
Abidži keel	Abidji language
Friedrich Engels	Friedrich Engels
Xinjiang	Xinjiang
Albuquerque	Albuquerque, New Mexico
Foie gras	Foie gras
Age of Empires	Age of Empires
Uusaasta	New Year
Kathryn Bigelow	Kathryn Bigelow
Santo Domingo	Santo Domingo
Tequixquiac	Tequixquiac
Abroni keel	Abron dialect
Ulysses S. Grant	Ulysses S. Grant
Elizabeth Taylor	Elizabeth Taylor
Oklahoma City	Oklahoma City
Provints	Province
375	375
The Wanted	The Wanted
Kapitoolium	Capitoline Hill
Atšoli keel	Acholi dialect
Brisbane	Brisbane
Eric Hobsbawm	Eric Hobsbawm
Steve Whitmire	Steve Whitmire
Ptolemaios	Ptolemy
F-14 Tomcat	Grumman F-14 Tomcat
Vitamiinid	Vitamin
Benjamin Franklin	Benjamin Franklin
David Herbert Lawrence	D. H. Lawrence
Isaac Asimov	Isaac Asimov
Toora	Torah
Annoboni keel	Annobonese Creole
Aasov	Sea of Azov
1970. aastad	1970s
2000. aastad	2000s (decade)
Bolgo keel	Bolgo language
William McKinley	William McKinley
Karplased	Cyprinidae
Postkontor	Post office
Agatha Christie	Agatha Christie
Ameerika Ühendriikide presidentide ja asepresidentide loend	List of Presidents of the United States
Lõuna-Georgia ja Lõuna-Sandwichi saared	South Georgia and the South Sandwich Islands
Riikide pealinnade loend	List of national capitals in alphabetical order
